feature,mean,scale
avg_days_to_file,259.4119649415512,86.34627270262996
max_days_to_file,261.2449974540373,89.04395831823628
late_filer_flag,0.4907424460743421,0.49991429034916934
filing_consistency,1.4141999999999995,1.0
annual_submission_rate,2.996374871889321,1.5073775315879505
company_age_years,12.87507394125868,11.954380879872382
same_day_reg_count,90.51204186212799,44.341357315201
same_day_dissolution_count,32.07557717517307,24.687274475086674
same_address_dissolution_count,10.116312579222777,155.76000741648585
director_avg_portfolio_size,1.8356077267261086,15.309521440467213
director_dissolution_count,2.4988786930002274,21.362263229914532
guo_irish_company_count,1.2607715892224522,17.73461693686785
is_corporate_owned,0.04135293544088491,0.19910517364274316
is_foreign_owned,0.07033357529007725,0.2557083562908969
solvency_ratio,7.2202611616090495,23.09470624928728
is_insolvent,0.030746562950283305,0.17263027491441812
charge_count,0.6467070409412479,5.179747028282537
ar_late_count,1.1150125131360844,0.9252123946170412
