feature_a,feature_b,r
avg_days_to_file,max_days_to_file,0.985
n_filings_yr0,short_period_flag,0.98
avg_days_to_file,sector_relative_deviation,0.979
ar_filed_count,submission_history_years,0.978
max_days_to_file,sector_relative_deviation,0.967
company_age_years,age_vs_sector_median,0.965
charge_count,total_charge_events,0.961
charge_count,outstanding_charge_count,0.928
late_filer_flag,sector_late_filer_risk,0.917
director_dissolution_count,director_max_dissolutions,0.903
pl_declining,ebit_declining,0.855
ar_filed_count,total_submissions,0.85
total_submissions,submission_history_years,0.824
is_loss_making,consecutive_loss_years,0.815
sector_death_birth_ratio,sector_employer_share,-0.815
is_loss_making,is_operating_loss,0.792
outstanding_charge_count,total_charge_events,0.789
solvency_ratio,is_insolvent,-0.767
fame_covered,director_back_to_back_flag,0.76
county_enterprise_density,county_enterprise_trend,-0.758
avg_days_to_file,late_filer_flag,0.722
max_days_to_file,late_filer_flag,0.716
satisfied_charge_count,total_charge_events,0.701
