_county,n,dissolved,rate,lift
Monaghan,1406,32.0,0.02275960170697013,0.3399541534748191
Roscommon,855,28.0,0.03274853801169591,0.4891562541665453
Wexford,2724,91.0,0.03340675477239354,0.4989878639006196
Kilkenny,1485,50.0,0.03367003367003367,0.5029203911885476
Westmeath,1713,59.0,0.034442498540572096,0.5144584947342044
Donegal,2964,103.0,0.03475033738191633,0.5190566021204069
Cavan,1277,46.0,0.036021926389976505,0.5380499909489379
Offaly,1204,47.0,0.03903654485049834,0.5830785498837987
Longford,556,22.0,0.039568345323741004,0.5910219129543112
Carlow,1021,42.0,0.04113614103819784,0.6144396630446565
Leitrim,466,20.0,0.04291845493562232,0.6410616145193074
Tipperary,2504,110.0,0.0439297124600639,0.6561665008039078
Galway,4663,211.0,0.04524983915933948,0.675884884293646
Sligo,1001,46.0,0.04595404595404595,0.6864034350067869
Kerry,2370,109.0,0.0459915611814346,0.6869637900399516
Louth,2925,138.0,0.04717948717948718,0.704707526606968
Waterford,1880,89.0,0.04734042553191489,0.7071114202280255
Kildare,3925,191.0,0.0486624203821656,0.7268577077949743
Laois,962,48.0,0.0498960498960499,0.7452841056947958
Mayo,1748,88.0,0.05034324942791762,0.7519638068709313
Meath,3452,174.0,0.05040556199304751,0.7528945531819746
Cork,11645,588.0,0.050493774151996566,0.7542121548785161
Wicklow,2798,148.0,0.05289492494639028,0.7900775094740458
Limerick,3217,216.0,0.0671433012123096,1.0029017387481414
Clare,1842,136.0,0.0738327904451683,1.1028208708408151
Dublin,37832,3758.0,0.09933389722985832,1.483724160857763
