rank,feature,full_ap,top15_ap,ap_retention_pct
1,ar_filed_count,0.5636,0.5032,89.3
2,company_age_years,0.5636,0.5032,89.3
3,annual_submission_rate,0.5636,0.5032,89.3
4,total_submissions,0.5636,0.5032,89.3
5,director_change_count,0.5636,0.5032,89.3
6,submission_history_years,0.5636,0.5032,89.3
7,other_form_count,0.5636,0.5032,89.3
8,age_vs_sector_median,0.5636,0.5032,89.3
9,days_since_last_name_change,0.5636,0.5032,89.3
10,name_change_count,0.5636,0.5032,89.3
11,days_since_last_office_change,0.5636,0.5032,89.3
12,name_risk_score,0.5636,0.5032,89.3
13,sector_relative_deviation,0.5636,0.5032,89.3
14,office_change_count,0.5636,0.5032,89.3
15,same_day_dissolution_count,0.5636,0.5032,89.3
