_sec,n,dissolved,rate,label_name,cso_active_enterprises,lift
F,5806,213.0,0.03668618670341026,Construction,81043.0,0.547971871632427
C,3427,161.0,0.04697986577181208,Manufacturing,19416.0,0.7017258344167722
H,1224,58.0,0.04738562091503268,Transport & storage,25544.0,0.7077864917168236
U,49609,2760.0,0.05563506621782338,Extraterritorial bodies,,0.831006275202234
D,256,15.0,0.05859375,Electricity & gas,970.0,0.8751993526347577
L,2212,130.0,0.05877034358047016,Real estate,19036.0,0.8778370842581295
E,139,9.0,0.06474820143884892,Water & waste,1136.0,0.9671267666525092
S,2842,207.0,0.07283603096410979,Other services,,1.0879325379972105
G,6165,457.0,0.07412814274128143,Wholesale & retail,49178.0,1.107232470002115
Q,1613,120.0,0.07439553626782393,Health & social work,23584.0,1.111226456414125
I,2740,219.0,0.07992700729927008,Accommodation & food,20941.0,1.1938485767911207
O,74,6.0,0.08108108108108109,Public administration,,1.2110866717540432
M,8035,702.0,0.08736776602364654,Professional & scientific,53003.0,1.30498922265669
R,1086,98.0,0.09023941068139964,Arts & entertainment,14382.0,1.3478822196992513
P,838,78.0,0.09307875894988067,Education,13359.0,1.39029281411383
K,6182,652.0,0.1054674862504044,Financial & insurance,18570.0,1.5753399584489667
N,3035,327.0,0.10774299835255355,Administrative & support,21516.0,1.6093286811150103
J,3616,411.0,0.11366150442477876,Information & communication,19810.0,1.6977318415711407
